,inactivity,anomaly
702,6578.0,0
703,10166.0,0
704,8970.0,0
705,18837.0,0
706,6877.0,0
707,2093.0,0
708,28704.0,0
709,20930.0,0
710,897.0,0
711,34983.0,0
712,25415.0,0
713,1196.0,0
714,15548.0,0
715,3588.0,0
716,15249.0,0
717,5681.0,0
718,4485.0,0
719,9269.0,0
720,27807.0,0
721,3588.0,0
722,3289.0,0
723,7176.0,0
724,2093.0,0
725,7475.0,0
726,9867.0,0
727,897.0,0
728,4485.0,0
729,13455.0,0
730,30797.0,0
731,4485.0,0
732,7475.0,0
733,39169.0,0
734,47840.0,0
735,17641.0,0
736,20033.0,0
737,28405.0,0
738,2691.0,0
739,6578.0,0
740,30199.0,0
741,15249.0,0
742,29302.0,0
743,9568.0,0
744,36478.0,0
745,6279.0,0
746,30498.0,0
747,24219.0,0
748,2990.0,0
749,7774.0,0
750,8970.0,0
751,11063.0,0
752,27508.0,0
753,1196.0,0
754,21528.0,0
755,32591.0,0
756,28106.0,0
757,7176.0,0
758,8671.0,0
759,8671.0,0
760,8970.0,0
761,13156.0,0
762,6578.0,0
763,28704.0,0
764,20033.0,0
765,6578.0,0
766,20930.0,0
767,6578.0,0
768,30199.0,0
769,15249.0,0
770,33189.0,0
771,2990.0,0
772,31395.0,0
773,1794.0,0
774,5083.0,0
775,7774.0,0
776,20033.0,0
777,8073.0,0
778,11063.0,0
779,23920.0,0
780,5083.0,0
781,7176.0,0
782,21528.0,0
783,6877.0,0
784,8970.0,0
785,6578.0,0
786,2392.0,0
787,19734.0,0
788,6877.0,0
789,3588.0,0
790,12259.0,0
791,5980.0,0
792,25415.0,0
793,8372.0,0
794,26013.0,0
795,3289.0,0
796,5681.0,0
797,7774.0,0
798,15847.0,0
799,15847.0,0
800,6877.0,0
801,23023.0,0
802,6578.0,0
803,15249.0,0
804,4186.0,0
805,36179.0,0
806,20631.0,0
807,1794.0,0
808,1516827.0,1
809,4485.0,0
810,33488.0,0
811,41262.0,0
812,11661.0,0
813,30199.0,0
814,1495.0,0
815,14053.0,0
816,16445.0,0
817,12558.0,0
818,8671.0,0
819,29601.0,0
820,3887.0,0
